frameIdx, distance(m), speed(m/s), acceleration(m/s2), angle_steer, gas, brake, steer_torque, d_rel(m), v_rel(m/s)
1,   0.27,   26.82,   -0.18,   0.00,   0.00,  0.00,   0.00,     99.91,   -8.94 
21,   5.63,   26.79,   -0.18,   0.00,   0.00,  0.00,   0.00,     98.13,   -8.90 
41,  10.98,   26.75,   -0.18,   0.00,   0.00,  0.00,   0.00,     96.35,   -8.87 
61,  16.33,   26.72,   -0.18,   0.00,   0.00,  0.00,   0.00,     94.58,   -8.83 
81,  21.67,   26.68,   -0.18,   0.00,   0.00,  0.00,   0.00,     92.81,   -8.80 
101,  27.00,   26.65,   -0.17,   0.00,   0.00,  0.00,   0.00,     91.06,   -8.76 
121,  32.33,   26.61,   -0.17,   0.00,   0.00,  0.00,   0.00,     89.31,   -8.73 
141,  37.65,   26.58,   -0.17,   0.00,   0.00,  0.00,   0.00,     87.57,   -8.69 
161,  42.96,   26.54,   -0.17,   0.00,   0.00,  0.00,   0.00,     85.83,   -8.66 
181,  48.26,   26.51,   -0.17,   0.00,   0.00,  0.00,   0.00,     84.10,   -8.62 
201,  53.56,   26.47,   -0.17,   0.00,   0.00,  0.00,   0.00,     82.38,   -8.59 
221,  58.85,   26.44,   -0.17,   0.00,   0.00,  0.00,   0.00,     80.67,   -8.55 
241,  64.13,   26.37,   -0.41,   0.00,   0.00,  0.08,   0.00,     78.96,   -8.49 
261,  69.40,   26.28,   -0.51,   0.00,   0.00,  0.11,   0.00,     77.27,   -8.40 
281,  74.64,   26.16,   -0.62,   0.00,   0.00,  0.15,   0.00,     75.60,   -8.28 
301,  79.87,   26.03,   -0.70,   0.00,   0.00,  0.18,   0.00,     73.96,   -8.15 
321,  85.06,   25.88,   -0.78,   0.00,   0.00,  0.20,   0.00,     72.34,   -8.00 
341,  90.22,   25.72,   -0.85,   0.00,   0.00,  0.23,   0.00,     70.76,   -7.84 
361,  95.35,   25.54,   -0.91,   0.00,   0.00,  0.25,   0.00,     69.21,   -7.66 
381, 100.44,   25.36,   -0.95,   0.00,   0.00,  0.26,   0.00,     67.69,   -7.48 
401, 105.49,   25.16,   -1.00,   0.00,   0.00,  0.28,   0.00,     66.21,   -7.28 
421, 110.50,   24.96,   -1.03,   0.00,   0.00,  0.29,   0.00,     64.78,   -7.08 
441, 115.48,   24.75,   -1.05,   0.00,   0.00,  0.30,   0.00,     63.38,   -6.87 
461, 120.41,   24.54,   -1.08,   0.00,   0.00,  0.30,   0.00,     62.03,   -6.65 
481, 125.29,   24.32,   -1.10,   0.00,   0.00,  0.31,   0.00,     60.72,   -6.44 
501, 130.14,   24.10,   -1.11,   0.00,   0.00,  0.32,   0.00,     59.45,   -6.22 
521, 134.93,   23.88,   -1.07,   0.00,   0.00,  0.30,   0.00,     58.23,   -6.00 
541, 139.69,   23.68,   -0.97,   0.00,   0.00,  0.27,   0.00,     57.05,   -5.79 
561, 144.41,   23.49,   -0.88,   0.00,   0.00,  0.24,   0.00,     55.91,   -5.61 
581, 149.09,   23.32,   -0.80,   0.00,   0.00,  0.21,   0.00,     54.80,   -5.44 
601, 153.74,   23.17,   -0.73,   0.00,   0.00,  0.19,   0.00,     53.73,   -5.29 
621, 158.36,   23.03,   -0.67,   0.00,   0.00,  0.17,   0.00,     52.68,   -5.15 
641, 162.96,   22.91,   -0.61,   0.00,   0.00,  0.15,   0.00,     51.67,   -5.02 
661, 167.53,   22.79,   -0.56,   0.00,   0.00,  0.14,   0.00,     50.67,   -4.91 
681, 172.07,   22.68,   -0.52,   0.00,   0.00,  0.12,   0.00,     49.70,   -4.80 
701, 176.60,   22.58,   -0.47,   0.00,   0.00,  0.11,   0.00,     48.75,   -4.70 
